E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0001,配布,2022/02/08,1828,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,1
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0002,釘邊,2022/02/10,1548,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,2
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0003,染色,2022/02/12,1426,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,3
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0004,中檢,2022/02/13,0038,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,4
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0005,定型,2022/02/14,1205,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,5
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0006,品驗,2022/02/14,1227,67.400,0,Y,JS22020160,0,品NG布面,,,色跡,,,入報廢倉,68.600,0,120.000,120.930,67.980,正常,,6
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0007,對色,2022/02/14,1233,67.400,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,7
E220101030-4A,2022/02/07,KA21121551,強迫結案,67.800,L81107SNX-50"/255g(針內不預留)-,,正常,副卡,0008,包裝,2022/02/22,0150,65.600,0,Y,,,,,,,,,,,,120.000,120.930,67.980,正常,,8
E220106071-4A,2022/02/07,KA21122007,強迫結案,141.400,R2323QTXE-55"/430g(針內不預留)-,,正常,副卡,0001,配布,2022/02/07,2151,139.800,0,Y,,,,,,,,,,,,150.000,149.700,0,正常,132.500,9
E220106071-4A,2022/02/07,KA21122007,強迫結案,141.400,R2323QTXE-55"/430g(針內不預留)-,,正常,副卡,0002,定型,2022/02/09,1802,139.800,0,Y,,,,,,,,,,,,150.000,149.700,0,正常,132.500,10
E220106071-4A,2022/02/07,KA21122007,強迫結案,141.400,R2323QTXE-55"/430g(針內不預留)-,,正常,副卡,0003,品驗,2022/02/09,1847,139.800,0,Y,,,,,,,,,,,,150.000,149.700,0,正常,132.500,11
E220106071-4A,2022/02/07,KA21122007,強迫結案,141.400,R2323QTXE-55"/430g(針內不預留)-,,正常,副卡,0004,對色,2022/02/09,2007,139.800,0,Y,,,,,,,,,,,,150.000,149.700,0,正常,132.500,12
E220106071-4A,2022/02/07,KA21122007,強迫結案,141.400,R2323QTXE-55"/430g(針內不預留)-,,正常,副卡,0005,包裝,2022/02/10,0132,132.500,0,Y,,,,,,,,,,,,150.000,149.700,0,正常,132.500,13
E220114045-3A,2022/02/07,KA21111506,結案,28.400,L07762TDE-40.5"/285g(針內不預留)-,PEGASUS 39,重下胚,副卡,0001,配布,2022/02/08,2259,27.800,0,Y,,,,,,,,,,,,255.000,255.240,30.100,重下胚,24.200,14
